model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),Depth,InvariantSize
148_gcd_4+newton_3_3.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,747669.0,202184.0,2104911.0,412736.0,1,inf
149_pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3053568.0,862104.0,8221342.0,1211584.0,2,inf
14_gen102.aig.out.txt,3.92,UN_SAT,12600.0,5625.0,36258.0,34224.0,2,1848.0
150_pals_lcr.5.ufo.BOUNDED-10.pals+Problem12_label02.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3054630.0,862339.0,8225199.0,1212496.0,2,inf
151_pals_lcr.5_overflow.ufo.UNBOUNDED.pals+Problem12_label02.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3053838.0,862148.0,8222233.0,1212412.0,2,inf
152_pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label09.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3056738.0,862979.0,8231435.0,1212236.0,2,inf
153_pc_sfifo_1.cil-2+token_ring.05.cil-2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,72209.0,26380.0,218905.0,2457756.0,5,inf
154_pc_sfifo_2.cil-1+token_ring.11.cil-2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,148849.0,55471.0,451008.0,2033708.0,6,inf
155_pc_sfifo_2.cil-1+token_ring.13.cil-1.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,177798.0,66791.0,538305.0,2819292.0,5,inf
156_pc_sfifo_3.cil+token_ring.04.cil-1.aig.out.txt,167.02,UN_SAT,70516.0,25406.0,214541.0,216544.0,8,1940.0
157_pc_sfifo_3.cil+token_ring.08.cil-2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,114912.0,42203.0,348903.0,2521556.0,4,inf
158_Problem101_label01.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,2262428.0,463666.0,5916434.0,1237720.0,5,inf
159_Problem02_label10.aig.out.txt,0.09,UN_SAT,6927.0,2403.0,19927.0,27028.0,4,34.0
15_gen103.aig.out.txt,13.17,UN_SAT,12594.0,5621.0,36260.0,44592.0,3,2416.0
160_Problem03_label51.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,32756.0,10702.0,94745.0,973776.0,7,inf
161_Problem04_label27.aig.out.txt,3.99,SAT,21199.0,6421.0,58811.0,47624.0,9,-inf
162_Problem06_label40.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,73220.0,20272.0,202671.0,755216.0,3,inf
163_Problem06_label53.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,73503.0,20326.0,203408.0,774456.0,3,inf
164_Problem07_label01.aig.out.txt,59.63,UN_SAT,2262006.0,463551.0,5915387.0,1164356.0,5,3.0
165_Problem10_label07.aig.out.txt,3.45,UN_SAT,301639.0,86604.0,809349.0,173820.0,5,3.0
166_Problem10_label08.aig.out.txt,3.08,UN_SAT,301618.0,86604.0,809233.0,173124.0,5,3.0
167_Problem11_label26.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,780928.0,222635.0,2100431.0,412616.0,3,inf
168_Problem11_label40.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,780778.0,222625.0,2099603.0,431308.0,3,inf
169_Problem11_label48.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,780892.0,222636.0,2100169.0,402260.0,3,inf
16_gen112.aig.out.txt,3.88,UN_SAT,12606.0,5627.0,36275.0,34840.0,2,1848.0
