model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),InvariantSize,AuxVars,AndAuxVars,XorAuxVars,TraceSizes,POSizes,_generalize_using_definitions_relative_to_frame_new,add_clause_to_frame_at_least,add_definition,bdd_solve_implies,bdd_solve_is_clause_a_contradiction,call_condense,call_propagate,clause_to_bdd,clause_to_bdd_cached,condense_frames_by_defining_new_variables,do_ternary_simulation_on_bad_cube_using_sat_solver,do_ternary_simulation_on_predecessor_using_sat_solver,does_a_imply_b,extract_variables_from_solver,fix_redundancy,generalize,generalize_relative_to_frame,get_bad_cube,get_cnf_of_frame,get_predecessor_of_cube,increase_pdr_depth,insert_clause_to_exact_frame,insert_clause_to_highest_frame_possible,is_clause_guaranteed_after_transition,is_clause_guaranteed_after_transition_if_assumed,is_clause_satisfied_by_all_initial_states,is_cube_initial,is_in_coi_of_some_ev,make_delta_element,make_simplified_cube_non_initial,mark_clause_added,no_predecessor_of_cube,perform_bva,perform_proof_iteration,propagate,propagate_blocked_cubes_in_range,propagate_to_infinite_frame,recursively_block_cube,save_definition_in_bdd,solve_is_cube_blocked,Average UNSAT core on bad cube reduction,Average UNSAT core on predecessor reduction,Average UNSAT core when no predecessor reduction,Average generalization EV reduction,Average generalization no EV reduction,BVA count,"BVA unsuccessful, insufficient matches","BVA unsuccessful, no matches",Count UNSAT core on bad cube reduction,Count UNSAT core on predecessor reduction,Count UNSAT core when no predecessor reduction,Count generalization EV reduction,Count generalization no EV reduction,Delta of Infinite Frame,Depth,Extension Variables,Fractional Propagation Successful,Fractional Propagation Unsuccessful,Frame propagation skipped due to no changes,Number of SAT calls,Number of SAT calls (SAT),Number of SAT calls (UNSAT),Proof obligations,Propagation Successful,Propagation Unsuccessful,Total Clauses,Total Proof Obligations,Total memory used (MB),Trace Tree size,Violating State Developed,does_a_imply_b COI subtraction,does_a_imply_b d_lib empty,does_a_imply_b neither clause contains EVs,does_a_imply_b solved by subsumption (true),does_a_imply_b total calls,solve_implies cache hit,solve_implies solved with DDs.
0_anderson.3.prop1-back-serstep.aig.out.txt,0.05,SAT,2709.0,886.0,7159.0,14424.0,-inf,0,0,0,inf_0_0_1_5_10,inf_inf_inf_1_7_20,0,0.001,0,0,0,0.0,0.002,0,0,0,0,0,0.0,0.0,0,0.008,0.008,0.001,0,0.003,0.002,0.0,0.001,0.0,0.008,0.0,0.0,0,0.0,0.0,0.0,0.009,0,0.034,0.0,0.0,0.001,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0,0,0,0,204.0,165.0,39.0,0.0,0,6.0,10.0,20.0,14.0,11.0,4.0,0,45.0,0,0,45.0,0,0
100_arbitrated_top_n4_w128_d16_e0.aig.out.txt,585.53,SAT,105294.0,43905.0,296220.0,2497984.0,-inf,0,0,0,inf_0_0_2_16_615_751_1298_2118_2834_3174_4666_6804_9097_11222_14409_18968_21791_23912_27631_28080,inf_inf_inf_2_24_1610_1925_2764_4012_5308_5987_8842_13246_18370_22109_29317_39983_48543_54978_63374_64849,0,53.284,0,0,0,0.002,165.626,0,0,0,0,0,29.399,66.703,0,195.672,194.749,118.017,0,55.047,165.626,48.0,53.281,59.903,202.047,5.224,2.212,0,0.001,0.562,47.939,247.036,0,469.582,154.899,162.544,10.726,303.798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.0,18.0,0.0,0,0,0,598466.0,488574.0,109892.0,0.0,30730.0,137864.0,28080.0,64849.0,2387.0,40648.0,17189.0,0,537122294.0,0,9896.0,537132190.0,0,0
101_arbitrated_top_n4_w128_d64_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,404495.0,168231.0,1142123.0,10642280.0,inf,0,0,0,inf_0_0_1_419_507_635_1197_2215_3447_4831_6854_8900_12107_15756_18606_22300_26074_30503,inf_inf_inf_1_698_847_1138_1998_3653_6298_8592_12342_16839_25588_35265_43039_52212_60743_70376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.0,16.0,0.0,0,0,1.0,610630.0,495850.0,114780.0,0.0,27262.0,115398.0,30503.0,70376.0,9720.0,43217.0,19714.0,0,625058881.0,0,10757.0,625069638.0,0,0
102_arbitrated_top_n4_w16_d16_e0.aig.out.txt,27.18,SAT,15685.0,6385.0,43521.0,96256.0,-inf,0,0,0,inf_0_0_5_28_283_289_405_567_737_903_1230_1454_2087_2436_2632_2966_3840_4257_5271_5745,inf_inf_inf_5_48_683_759_940_1243_1593_1886_2578_3067_4438_5221_5668_6606_8688_10044_13002_14998,0,2.895,0,0,0,0.0,5.315,0,0,0,0,0,1.059,1.58,0,13.217,13.18,2.294,0,3.282,5.315,1.796,2.894,3.061,14.238,0.169,0.074,0,0.0,0.018,1.788,16.027,0,24.839,4.941,5.148,0.374,19.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,18.0,0.0,0,0,0,125624.0,99784.0,25840.0,0.0,4949.0,26057.0,5745.0,14998.0,94.0,8716.0,2526.0,0,20058397.0,0,2375.0,20060772.0,0,0
103_arbitrated_top_n4_w16_d32_e0.aig.out.txt,509.08,SAT,29541.0,12036.0,82151.0,1122568.0,-inf,0,0,0,inf_0_0_2_18_180_207_315_448_631_851_1190_1767_1976_2643_3066_3726_4130_4995_5839_6964_7611_9021_10291_11640_12684_14038_15456_16902_18147_20200_21634_24516_27294_29615_31690_32514,inf_inf_inf_2_27_402_494_699_961_1344_1762_2439_3927_4882_6666_7841_9511_10727_12910_15379_18572_20663_24618_28926_33696_36989_41245_46094_50804_55100_61857_66692_76261_85770_95708_104797_109188,0,76.812,0,0,0,0.003,169.835,0,0,0,0,0,43.77,36.659,0,185.159,184.747,23.693,0,54.483,169.835,68.322,76.808,106.076,197.922,2.514,0.959,0,0.002,0.215,68.225,261.223,0,486.704,164.043,168.434,5.792,316.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,34.0,0.0,0,0,0,1070045.0,858271.0,211774.0,0.0,56545.0,298108.0,32514.0,109188.0,1096.0,64335.0,12813.0,0,766703043.0,0,19791.0,766722834.0,0,0
104_arbitrated_top_n4_w16_d64_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,56876.0,23191.0,158402.0,6581488.0,inf,0,0,0,inf_0_0_7_55_80_133_212_435_638_935_1273_1792_2256_2650_3390_4452_5257_5871_6966_8791_10390_11370_12700_14618_17627_20055_21045_22766_26346_30067_32789_36553_39128_41237_47584_55707_57253_60472_65322_69052_72458_79682_83739_87949_95541,inf_inf_inf_7_68_97_205_348_768_1146_1733_2444_3665_4754_5731_7376_10126_12385_14261_17105_22700_27392_30362_34569_40188_48501_56144_61371_67347_78099_89452_98709_111276_121270_130687_153229_183686_195956_210714_230044_246369_260694_284963_304040_322030_348725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.0,43.0,0.0,0,0,0,3625979.0,2935826.0,690153.0,0.0,163051.0,1035356.0,95541.0,348725.0,6281.0,199918.0,30416.0,0,7107256252.0,0,67601.0,7107323853.0,0,0
105_arbitrated_top_n4_w32_d32_e0.aig.out.txt,2678.55,SAT,54638.0,22515.0,153092.0,5733492.0,-inf,0,0,0,inf_0_0_6_54_198_225_272_463_793_1155_1543_2113_2946_3830_4604_5580_7105_8164_9724_12323_15933_18234_23437_26511_29309_32532_33892_37664_43614_48890_55725_61418_66869_74290_80024_77019,inf_inf_inf_6_105_401_443_529_881_1536_2226_3039_4430_6679_8697_10655_12840_16554_19144_23217_30682_40873_47960_62130_72421_81797_92321_100565_113719_133088_154995_179181_202871_226624_263495_298398_306177,0,535.333,0,0,0,0.009,866.895,0,0,0,0,0,343.194,191.174,0,900.028,897.908,107.695,0,275.199,866.895,521.164,535.321,461.838,955.001,14.285,5.069,0,0.008,1.124,520.818,1433.607,0,2580.254,832.853,862.535,34.041,1713.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.0,34.0,0.0,0,0,0,3052865.0,2428903.0,623962.0,0.0,161859.0,679052.0,77019.0,306177.0,5599.0,177042.0,29129.0,0,5366237744.0,0,67374.0,5366305118.0,0,0
106_arbitrated_top_n4_w64_d32_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,104812.0,43476.0,294908.0,11328828.0,inf,0,0,0,inf_0_0_4_217_290_405_770_1276_1728_2469_3909_4568_5542_6900_9132_10725_12958_15661_18389_22184_26517_29062_34339_38541_42793_46372_51491_54894_60289_63545_69354_77962_88148_94618,inf_inf_inf_4_298_376_631_1273_2023_3063_4493_7688_9475_11558_14879_19362_23123_28756_35477_43035_55600_68967_76516_93275_106981_122284_136808_153049_163768_179541_193608_212909_242351_276978_304318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.0,32.0,0.0,0,0,2.0,2959490.0,2396584.0,562906.0,0.0,154684.0,779525.0,94618.0,304318.0,10962.0,182723.0,44517.0,0,6337257646.0,0,52955.0,6337310601.0,0,0
107_arbitrated_top_n4_w8_d64_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,32079.0,12831.0,88235.0,3801992.0,inf,0,0,0,inf_0_0_1_59_113_138_219_336_485_638_844_1102_1499_1855_2186_2574_3155_3810_4417_5010_5714_6363_7227_8113_8929_9594_10359_11393_12593_14392_15729_17233_19099_20444_22144_24717_26272_26863_29366_31441_33310_34175_36529_39322_42030_43695_46416_49163_53599_55344_56629_60740_63395_66184_70532_74301_77366_79710_82210_85063_87475,inf_inf_inf_1_96_249_307_433_658_943_1244_1673_2279_3249_3988_4813_5733_7235_9130_10760_12514_14700_17117_19775_22379_25282_27713_30314_33926_38304_44306_49083_54346_61107_66799_73250_85991_94964_101239_110034_117961_125782_131364_141311_153363_164939_172964_183424_193415_209639_221928_230683_245753_257564_269598_287110_306930_324156_339163_352465_368183_381067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.0,59.0,0.0,0,0,5.0,4124655.0,3314692.0,809963.0,0.0,269977.0,1470094.0,87475.0,381067.0,3616.0,223181.0,29140.0,0,6838145195.0,0,80106.0,6838225301.0,0,0
108_arbitrated_top_n5_w128_d64_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,505442.0,210170.0,1426884.0,9008832.0,inf,0,0,0,inf_0_0_2_29_475_623_1161_2163_3539_5015_7264_8750_11977_15358_18353_21405_25005,inf_inf_inf_2_44_1174_1506_2364_4304_7159_10141_14227_18339_25917_33620_41451_48481_56676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.0,15.0,0.0,0,0,1.0,473295.0,384948.0,88347.0,0.0,21120.0,88394.0,25005.0,56676.0,8697.0,36916.0,16549.0,0,419557081.0,0,8731.0,419565812.0,0,0
