model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),InvariantSize,AuxVars,AndAuxVars,XorAuxVars,UsedAuxVars,UsedAndAuxVars,UsedXorAuxVars,TraceSizes,POSizes,_generalize_using_definitions_relative_to_frame_new,add_clause_to_frame_at_least,add_definition,bdd_solve_implies,bdd_solve_is_clause_a_contradiction,call_condense,call_propagate,clause_to_bdd,clause_to_bdd_cached,condense_frames_by_defining_new_variables,do_ternary_simulation_on_bad_cube_using_sat_solver,do_ternary_simulation_on_predecessor_using_sat_solver,does_a_imply_b,extract_variables_from_solver,fix_redundancy,generalize,generalize_relative_to_frame,get_bad_cube,get_cnf_of_frame,get_predecessor_of_cube,increase_pdr_depth,insert_clause_to_exact_frame,insert_clause_to_highest_frame_possible,is_clause_guaranteed_after_transition,is_clause_guaranteed_after_transition_if_assumed,is_clause_satisfied_by_all_initial_states,is_cube_initial,is_in_coi_of_some_ev,make_delta_element,make_simplified_cube_non_initial,mark_clause_added,no_predecessor_of_cube,perform_bva,perform_proof_iteration,propagate,propagate_blocked_cubes_in_range,propagate_to_infinite_frame,recursively_block_cube,save_definition_in_bdd,solve_is_cube_blocked,Average UNSAT core on bad cube reduction,Average UNSAT core on predecessor reduction,Average UNSAT core when no predecessor reduction,Average generalization EV reduction,Average generalization no EV reduction,BVA count,"BVA unsuccessful, insufficient matches","BVA unsuccessful, no matches",Count UNSAT core on bad cube reduction,Count UNSAT core on predecessor reduction,Count UNSAT core when no predecessor reduction,Count generalization EV reduction,Count generalization no EV reduction,Delta of Infinite Frame,Depth,Extension Variables,Fractional Propagation Successful,Fractional Propagation Unsuccessful,Frame propagation skipped due to no changes,Number of SAT calls,Number of SAT calls (SAT),Number of SAT calls (UNSAT),Proof obligations,Propagation Successful,Propagation Unsuccessful,Total Clauses,Total Proof Obligations,Total memory used (MB),Trace Tree size,Violating State Developed,does_a_imply_b COI subtraction,does_a_imply_b d_lib empty,does_a_imply_b neither clause contains EVs,does_a_imply_b solved by subsumption (true),does_a_imply_b total calls,solve_implies cache hit,solve_implies solved with DDs.
0_adding.5.prop1-func-interl.aig.out.txt,5.85,SAT,1303.0,442.0,3283.0,23024.0,-inf,8,0,8,0,0,0,inf_0_0_1_7_30_36_69_96_101_208_307_329_736_1327_1435_2167_3160_3341_4240,inf_inf_inf_1_12_54_70_150_218_247_523_817_960_2107_3848_4322_6233_8502_9286_11527,0,1.093,0.0,0.001,0.001,0.029,0.865,0.092,0.094,0.029,0,0,0.587,0.016,0.006,2.749,2.649,0.049,0,1.065,0.865,0.861,1.092,0.578,2.94,0.013,0.008,0.0,0.096,0.002,0.857,3.779,0.013,5.866,0.724,0.751,0.141,4.886,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.0,17.0,8.0,56.0,10424.0,0,95178.0,71843.0,23335.0,0.0,3201.0,923.0,4240.0,11527.0,21.0,3559.0,792.0,1039828.0,136434.0,7849492.0,1517.0,9035329.0,207.0,1900.0
100_arbitrated_top_n3_w8_d128_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,46380.0,18604.0,127656.0,2421100.0,inf,77,0,77,0,0,0,inf_0_0_1_23_123_141_211_321_454_602_781_1187_1469_1737_2247_2658_3222_3874_4622_5487_5992_6921_7605_8656_9364_10187_11338_13017_14011_15321_16666_17439_18947_19811_21649_25760_27939_31606_34191_37053_39409_42226_44682_50060_52876_55467_57787_62475_65575_69655,inf_inf_inf_1_36_233_319_437_659_927_1223_1665_2665_3454_4041_5224_6264_7706_9300_11610_14306_15825_18038_19482_22180_24687_27392_30202_34934_38184_41761_45940_49849_54043_57935_64446_77443_84088_93587_99810_107675_115310_124441_130433_145642_153836_161944_169703_182338_190948_201930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0,48.0,77.0,51707.0,797707.0,4.0,3074517.0,2469162.0,605355.0,0.0,131332.0,1604.0,69655.0,201930.0,2345.0,115233.0,18252.0,6140725972.0,271289.0,1387214685.0,45536.0,7594460626.0,2113481.0,25114105.0
101_arbitrated_top_n4_w128_d16_e0.aig.out.txt,1098.99,SAT,105280.0,43905.0,296178.0,2348804.0,-inf,27,1,26,0,0,0,inf_0_0_5_17_809_839_1386_2121_2738_3874_4953_6742_8287_10983_13900_15042_16700_20404_23972_25893,inf_inf_inf_5_29_1866_1912_2737_3935_5277_7499_9037_12552_15548_19846_25611_27750_32281_40452_49610_52058,0,73.461,0.006,0.211,0.32,10.173,307.907,2.484,2.548,10.171,0,0,49.706,64.215,0.455,522.087,427.079,122.223,0,67.033,307.907,48.12,73.458,140.664,545.581,5.388,1.802,0.038,2.351,0.466,48.054,593.511,8.534,980.176,292.745,304.704,15.162,672.111,0.0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,787.0,18.0,27.0,10419.0,113807.0,0,596293.0,474640.0,121653.0,0.0,21533.0,20.0,25893.0,52058.0,2129.0,32943.0,15187.0,442438479.0,155235.0,164431891.0,9875.0,608762097.0,66886.0,296583.0
102_arbitrated_top_n4_w32_d16_e0.aig.out.txt,93.92,SAT,28481.0,11745.0,79605.0,235404.0,-inf,10,0,10,0,0,0,inf_0_0_2_177_214_301_499_683_984_1498_1918_1872_2240_2787_3467_4024_4512_5748_6594_7580,inf_inf_inf_2_286_327_543_841_1234_1781_2716_4367_5166_6042_7019_8437_9606_10632_13916_15686_18489,0,6.956,0.001,0.039,0.364,0.364,20.967,0.498,0.509,0.364,0,0,3.937,4.938,0.092,48.789,41.319,9.554,0,7.056,20.967,4.323,6.955,10.193,51.194,0.52,0.179,0.006,0.17,0.047,4.308,55.55,0.162,84.226,19.965,20.616,1.002,63.119,0.0,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,228.0,18.0,10.0,2153.0,31375.0,2.0,196157.0,154149.0,42008.0,0.0,7107.0,1004.0,7580.0,18489.0,229.0,11471.0,4951.0,32827631.0,364185.0,19407909.0,3735.0,52692554.0,9817.0,64203.0
103_arbitrated_top_n4_w64_d128_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,407500.0,168954.0,1148968.0,5857900.0,inf,22,0,22,0,0,0,inf_0_0_3_240_347_338_637_1075_1707_2454_3256_4259_5532_6642_8453_9871_11568_13183_15292,inf_inf_inf_3_406_605_660_1117_1910_3280_4702_6237_8900_11858_14103_17489_19724_24375_28075_34369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.0,17.0,22.0,3769.0,62174.0,3.0,369854.0,300215.0,69639.0,0.0,10377.0,748.0,15292.0,34369.0,5212.0,21538.0,9516.0,144592031.0,419152.0,59890348.0,5536.0,205283899.0,20045.0,115940.0
104_arbitrated_top_n5_w128_d16_e0.aig.out.txt,1596.46,SAT,131435.0,54766.0,369487.0,2900872.0,-inf,33,0,33,0,0,0,inf_0_0_3_166_475_626_1073_1480_2364_3450_4483_5780_7636_10284_11727_13570_15209_18516_23694_26992,inf_inf_inf_3_317_1052_1226_1986_3113_4669_6665_9057_11878_15587_20305_24654_29634_33228_42983_57796_65661,0,103.569,0.003,0.188,0.773,11.224,366.264,2.027,2.112,11.221,0,0,67.513,89.913,0.281,815.238,656.904,200.336,0,105.354,366.264,70.371,103.564,154.136,844.912,8.922,2.811,0.043,1.483,0.729,70.291,917.905,9.168,1403.058,351.666,364.061,14.598,1036.642,0.0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,423.0,18.0,33.0,10480.0,105707.0,0,737469.0,592518.0,144951.0,0.0,22286.0,369.0,26992.0,65661.0,2682.0,42284.0,18735.0,551628596.0,508671.0,161015756.0,12071.0,713639223.0,50220.0,301258.0
105_arbitrated_top_n5_w128_d32_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,256265.0,106629.0,722383.0,5186360.0,inf,35,0,35,0,0,0,inf_0_0_7_30_335_513_1121_1922_3371_4308_5881_8164_10372_12426_15284_18319_20680_24805_29154,inf_inf_inf_7_45_649_990_1891_3263_5627_7709_10933_15370_19973_25418_31507_35270_42607_49221_61446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.0,17.0,35.0,7017.0,116764.0,2.0,700871.0,573888.0,126983.0,0.0,16998.0,242.0,29154.0,61446.0,4624.0,37541.0,18807.0,511411144.0,610918.0,195751263.0,10870.0,708284184.0,35983.0,226359.0
106_arbitrated_top_n5_w16_d128_e0.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,138829.0,56655.0,386959.0,5505968.0,inf,60,0,60,0,0,0,inf_0_0_14_49_188_239_339_568_765_1121_1397_1906_2288_2713_3102_3529_4210_5096_6055_7929_8953_10289_11044_12135_13161_13888_14704_16614_17851_19935_21274_22756_24737_27526_29482_34175_37225_43109_46245,inf_inf_inf_14_80_413_515_714_1113_1547_2196_2882_4073_5041_6105_7067_7995_9425_11793_14156_19280_22032_25885_28025_30604_33705_36288_39209_44500_47760_53209_57435_61638_69166_76590_82740_98911_109406_124558_131300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0,37.0,60.0,26047.0,390944.0,2.0,1761310.0,1414571.0,346739.0,0.0,62544.0,1117.0,46245.0,131300.0,5224.0,79083.0,16522.0,1936110657.0,255783.0,533987043.0,27862.0,2487140668.0,1008989.0,5209378.0
107_arbitrated_top_n5_w16_d32_e0.aig.out.txt,971.74,SAT,36868.0,15013.0,102496.0,1364168.0,-inf,59,0,59,0,0,0,inf_0_0_3_60_117_152_264_532_764_1052_1378_1829_2304_2678_3397_4073_5136_5738_6840_8791_9915_10931_11791_12911_14388_16152_17152_19698_20537_22356_24002_25668_27483_29424_33906_38141,inf_inf_inf_3_96_206_287_452_1063_1593_2093_2849_3931_4984_5977_7625_9225_11767_13502_16724_21475_24060_26964_29137_31948_35252_40917_43834_50548_53527_59674_64287_68644_74357_82418_97232_111437,0,125.254,0.001,2.088,3.398,8.834,392.077,9.787,9.946,8.831,0,0,145.746,104.414,1.291,348.96,260.554,30.464,0,67.243,392.077,106.41,125.249,108.765,366.276,4.537,1.211,0.104,6.88,0.281,106.284,474.316,5.619,943.785,376.729,391.455,15.348,551.431,0.0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,34.0,59.0,18987.0,319939.0,2.0,1409696.0,1129331.0,280365.0,0.0,48508.0,877.0,38141.0,111437.0,1332.0,62542.0,13023.0,1274476945.0,260696.0,453138326.0,21910.0,1732728296.0,710682.0,2499193.0
108_arbitrated_top_n5_w32_d32_e0.aig.out.txt,1849.21,SAT,68216.0,28101.0,191068.0,2695656.0,-inf,61,0,61,0,0,0,inf_0_0_3_94_179_216_266_649_938_1274_1717_2795_3074_3837_4460_5228_6610_7571_8857_12626_13087_15558_16776_18333_19705_23117_25359_27453_28531_30735_32961_35160_37339_41756_45120,inf_inf_inf_3_145_357_444_533_1321_1939_2585_3440_6448_7387_9111_10592_12557_15742_17933_21421_31218_33974_39755_42224_46432_49688_59421_65687_71219_77706_83626_89595_97411_105655_118215_127359,0,204.655,0.003,1.755,2.954,16.928,673.194,4.448,4.652,16.924,0,0,225.138,174.203,1.962,745.008,563.064,91.908,0,118.69,673.194,179.085,204.648,197.631,777.246,9.58,2.644,0.131,2.104,0.63,178.919,948.896,12.149,1760.122,652.034,670.754,21.161,1086.656,0.0,0.374,0,0,0,0,0,0,0,0,0,0,0,0,0,237.0,33.0,61.0,23891.0,397461.0,2.0,1638325.0,1326903.0,311422.0,0.0,60582.0,799.0,45120.0,127359.0,2632.0,73860.0,19635.0,1821940978.0,203766.0,651825750.0,28114.0,2478244194.0,617727.0,2386906.0
